2017-06-01 08:46:02.441 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 08:46:29.721 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 08:54:42.255 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 08:54:45.974 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 08:54:46.087 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 08:55:43.878 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 08:55:45.461 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 08:55:45.531 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 08:55:45.776 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 08:55:45.941 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 08:55:45.945 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 08:55:45.950 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 08:55:45.972 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 08:55:50.378 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 08:55:50.472 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 08:57:42.691 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 08:57:45.381 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 08:57:45.600 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 08:57:49.346 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 08:57:49.556 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 08:57:49.572 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 08:57:49.579 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 08:57:49.602 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 08:58:25.228 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 508cd943-2f25-4798-8be3-6c62e36836bd
2017-06-01 08:58:25.627 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 08:58:35.242 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 08:58:35.287 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 09:01:17.333 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:06:00.568 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:06:01.626 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 09:06:01.708 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 09:06:01.938 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
